  Age Group  ,  Gender  ,Which category of apps do you use MOST daily?  ,Average daily smartphone usage (in minutes)  ,  Most used app platform  ,  Average sleep duration per night (hours)  ,  Daily study/work hours  ,  Stress level due to smartphone usage  ,  How productive do you feel during the day?  ,  Overall productivity level  , Does smartphone usage affect your productivity?  
21–23,Male,"Education (Coursera, YouTube Learning)",498.991206685905,YouTube,6.018591639917572,5.813250208269257,7.377225573798347,7.753212990807886,Medium,Negatively
21–23,Female,"Entertainment (Netflix, Games)",299.5102824468854,Netflix,5.075047022348878,4.403011473485914,6.42314965608436,4.605622456520998,Medium,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.46750258780995,Instagram,5.096065538848248,4.387827141882466,7.400772230812808,4.516577506426081,Low,Negatively
18–20,Male,Mixed Usage,600.5146682362621,YouTube,5.927242813274316,5.220994618467644,7.52677318712684,6.290233154112214,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.1600416271301,Games,8.397491034498444,1.2291519410224718,3.923228238380176,6.315276226236819,Medium,Positively
18–20,Male,Mixed Usage,600.0017988066525,YouTube,6.346828021891714,5.974575436348728,8.382150753681294,7.724427196322958,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",348.9674344421728,Games,7.761009389355481,1.9712841241287409,3.746299425167639,5.38875222098926,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",549.5818112515018,YouTube,6.893292069833994,7.022313774657939,6.3792827020260425,7.803620249349304,Medium,Positively
21–23,Female,"Entertainment (Netflix, Games)",300.0927192832564,Netflix,4.015548253100858,4.2046880042259565,6.608233585901313,4.895565694161844,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",498.9443565849066,YouTube,5.932611929385306,5.046011156335771,7.1190150963982015,6.176041064180729,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.3409240240655,Instagram,4.682674540648952,2.714217842599165,8.164107638432418,2.4193364743434667,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.83299392246863,YouTube,5.908809002149708,6.473554323550402,7.32328147110343,6.976105357609887,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",500.14673355266194,YouTube,6.24714234642816,5.748695110715896,6.975376692188628,7.120093931496754,Medium,Negatively
18–20,Male,Mixed Usage,599.5074949613467,YouTube,5.695130416345998,6.3509785394091205,7.942972963558653,8.409083515125493,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",444.30949174669786,YouTube,3.514598885867061,6.213941516358171,4.9977232419262,4.36005503861632,High,Negatively
18–20,Male,Mixed Usage,420.1223051221465,YouTube,8.722007798957483,4.514300155715526,5.098207571451806,7.444974165317209,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",460.0441894216497,Educational Apps,5.419492969472155,8.359542210862404,7.43172934003957,7.865013088367433,High,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.5011007250187,YouTube,6.645399960887147,6.743887538373481,4.953596784916607,7.950914457501887,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",444.2660157752325,YouTube,3.813841955393952,6.238994629324077,6.854077739466279,3.517143874977576,High,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.7798448873088,YouTube,6.416102222551802,6.140475732516936,7.250733293751745,7.413086573330538,Medium,Negatively
